MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing,,
AT,Austria,2014AT05SFOP001,13,Employment Austria - ESF,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,"52,000,000.00",52000000,104000000,50%,,
AT,Austria,2014AT05SFOP001,13,Employment Austria - ESF,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,"135,000,000.00",135000000,270000000,50%,,"16,512,300,637.00"
AT,Austria,2014AT05SFOP001,13,Employment Austria - ESF,ESF,3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,"205,000,000.00",205000000,410000000,50%,,
AT,Austria,2014AT05SFOP001,13,Employment Austria - ESF,ESF,4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,"6,448,374.00",4298916,10747290,60%,,
AT,Austria,2014AT05SFOP001,13,Employment Austria - ESF,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,"14,697,349.00",9798233,24495582,60%,,
AT,Austria,2014AT05SFOP001,13,Employment Austria - ESF,ESF,4,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,"2,642,139.00",1761426,4403565,60%,,
AT,Austria,2014AT05SFOP001,13,Employment Austria - ESF,ESF,5,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,"24,781,119.00",24781119,49562238,50%,,
AT,Austria,2014AT05SFOP001,13,Employment Austria - ESF,ESF,5,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,"1,518,372.00",1012248,2530620,60%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,,TA,Technical Assistance,Technical Assistance,VOID,M20,TA,FA_M20,M20 – Technical Assistance,"114,298,533.00",11693459061,23123312361,4943.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2A,Farm performance,"3,727,951.00",362204877,734999977,5072.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_2B,New farmers,"319,539.00",31046156,63000056,5072.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2A,Farm performance,"4,768,148.00",473986054,950800854,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P2,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_2B,New farmers,"204,350.00",20313786,40748786,5015.00%,,
AT,Austria,2014AT06RDNP001,21,Austria - National Rural Development,EAFRD,P2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_2A,Farm performance,"15,172,645.00",1509387674,3026652174,5013.00%,,
